"congress","chamber","icpsr","state_icpsr","district_code","state_abbrev","party_code","occupancy","last_means","bioname","bioguide_id","born","died","nominate_dim1","nominate_dim2","nominate_log_likelihood","nominate_geo_mean_probability","nominate_number_of_votes","nominate_number_of_errors","conditional","nokken_poole_dim1","nokken_poole_dim2"
114,"Senate",41303,36,0,"ND",100,0,1,"HEITKAMP, Mary Kathryn (Heidi)","H001069",1955,,-0.122,0.399,-109.15039,0.77066,419,42,,-0.119,0.448
114,"Senate",29386,24,0,"OH",200,0,1,"PORTMAN, Robert Jones (Rob)","P000449",1955,,0.373,-0.236,-137.33131,0.71884,416,64,,0.325,-0.163
114,"Senate",29389,24,0,"OH",100,0,1,"BROWN, Sherrod","B000944",1952,,-0.43,-0.113,-40.92017,0.90479,409,19,,-0.589,-0.07
114,"Senate",15424,53,0,"OK",200,0,1,"INHOFE, James Mountain","I000024",1934,,0.555,0.045,-61.47149,0.86077,410,27,,0.521,0.253
114,"Senate",21166,53,0,"OK",200,0,1,"LANKFORD, James","L000575",1968,,0.59,0.174,-107.67266,0.77339,419,48,,0.624,-0.036
114,"Senate",14871,72,0,"OR",100,0,1,"WYDEN, Ronald Lee","W000779",1949,,-0.329,-0.471,-68.55286,0.84773,415,33,,-0.39,-0.878
114,"Senate",40908,72,0,"OR",100,0,1,"MERKLEY, Jeff","M001176",1956,,-0.443,-0.738,-44.85799,0.89778,416,20,,-0.607,-0.729
114,"Senate",29935,14,0,"PA",200,0,1,"TOOMEY, Patrick Joseph","T000461",1961,,0.647,-0.287,-83.76966,0.81105,400,33,,0.596,-0.311
114,"Senate",40703,14,0,"PA",100,0,1,"CASEY, Robert (Bob), Jr.","C001070",1960,,-0.312,0.194,-81.03026,0.82263,415,31,,-0.295,0.3
114,"Senate",29142,5,0,"RI",100,0,1,"REED, John F. (Jack)","R000122",1949,,-0.369,-0.172,-39.8197,0.90955,420,12,,-0.437,-0.129
114,"Senate",40704,5,0,"RI",100,0,1,"WHITEHOUSE, Sheldon","W000802",1955,,-0.359,-0.106,-46.16833,0.89567,419,21,,-0.42,0.023
114,"Senate",21173,48,0,"SC",200,0,1,"SCOTT, Tim","S001184",1965,,0.637,-0.005,-76.05908,0.83106,411,34,,0.634,0.028
114,"Senate",29566,48,0,"SC",200,0,1,"GRAHAM, Lindsey O.","G000359",1955,,0.405,-0.17,-84.82933,0.76777,321,40,,0.321,-0.208
114,"Senate",29754,37,0,"SD",200,0,1,"THUNE, John","T000250",1961,,0.411,0.138,-69.667,0.84682,419,37,,0.429,0.079
114,"Senate",41505,37,0,"SD",200,0,1,"ROUNDS, Marion Michael (Mike)","R000605",1954,,0.407,0.124,-69.78223,0.84557,416,28,,0.386,0.004
114,"Senate",40304,54,0,"TN",200,0,1,"ALEXANDER, Lamar","A000360",1940,,0.324,-0.177,-104.97167,0.77508,412,40,,0.307,-0.185
114,"Senate",40705,54,0,"TN",200,0,1,"CORKER, Robert (Bob)","C001071",1952,,0.395,-0.344,-121.13923,0.74419,410,50,,0.513,-0.483
114,"Senate",40305,49,0,"TX",200,0,1,"CORNYN, John","C001056",1952,,0.492,-0.01,-69.83046,0.84444,413,30,,0.463,-0.073
114,"Senate",41304,49,0,"TX",200,0,1,"CRUZ, Rafael Edward (Ted)","C001098",1970,,0.822,-0.275,-111.50473,0.69295,304,49,,0.876,-0.483
114,"Senate",14503,67,0,"UT",200,0,1,"HATCH, Orrin Grant","H000338",1934,,0.382,-0.004,-77.95758,0.82911,416,28,,0.381,-0.041
114,"Senate",41110,67,0,"UT",200,0,1,"LEE, Mike","L000577",1971,,0.916,-0.401,-147.92776,0.683,388,71,,0.919,-0.395
114,"Senate",14307,6,0,"VT",100,0,1,"LEAHY, Patrick Joseph","L000174",1940,,-0.36,-0.121,-47.76095,0.89104,414,23,,-0.525,-0.142
114,"Senate",29147,6,0,"VT",328,0,1,"SANDERS, Bernard","S000033",1941,,-0.527,-0.379,-68.53312,0.80447,315,29,,-0.861,-0.508
114,"Senate",40909,40,0,"VA",100,0,1,"WARNER, Mark","W000805",1954,,-0.201,-0.029,-75.42259,0.82251,386,40,,-0.17,-0.125
114,"Senate",41305,40,0,"VA",100,0,1,"KAINE, Timothy Michael (Tim)","K000384",1958,,-0.241,-0.058,-71.324,0.84033,410,36,,-0.208,-0.214
114,"Senate",39310,73,0,"WA",100,0,1,"CANTWELL, Maria E.","C000127",1958,,-0.303,-0.424,-45.4022,0.89754,420,23,,-0.287,-0.61
114,"Senate",49308,73,0,"WA",100,0,1,"MURRAY, Patty","M001111",1950,,-0.352,-0.313,-47.65465,0.89127,414,27,,-0.295,-0.552
114,"Senate",20146,56,0,"WV",200,0,1,"CAPITO, Shelley Moore","C001047",1953,,0.263,0.06,-86.29852,0.81346,418,32,,0.308,0.126
114,"Senate",40915,56,0,"WV",100,0,1,"MANCHIN, Joe, III","M001183",1947,,-0.055,0.441,-163.79908,0.6726,413,68,,-0.085,0.634
114,"Senate",29940,25,0,"WI",100,0,1,"BALDWIN, Tammy","B001230",1962,,-0.493,-0.14,-47.13258,0.89385,420,25,,-0.461,-0.032
114,"Senate",41111,25,0,"WI",200,0,1,"JOHNSON, Ron","J000293",1955,,0.606,-0.273,-81.47359,0.82018,411,34,,0.487,-0.256
114,"Senate",40707,68,0,"WY",200,0,1,"BARRASSO, John A.","B001261",1952,,0.541,0.246,-76.8567,0.83241,419,28,,0.477,0.198
114,"Senate",49706,68,0,"WY",200,0,1,"ENZI, Michael B.","E000285",1944,,0.545,0.198,-88.71929,0.8024,403,36,,0.5,0.117
